epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,459.254,0.74097,0.50691,1.00998,0.94245,0.78297,0.87142,0.63391,0.82918,0.53257,1.00942,0.00129293,0.00129293,0.00129293
70,465.878,0.73691,0.50396,1.00104,0.91945,0.79843,0.86966,0.64376,0.81835,0.51798,1.00468,0.00128742,0.00128742,0.00128742
71,472.533,0.73193,0.49481,1.00177,0.90807,0.80088,0.86668,0.63521,0.8176,0.52077,1.00015,0.00128192,0.00128192,0.00128192
72,479.163,0.73912,0.49764,1.00979,0.93698,0.79013,0.8718,0.64091,0.81437,0.52064,0.99049,0.00127642,0.00127642,0.00127642
73,486.253,0.73804,0.49753,1.00545,0.92752,0.78825,0.86622,0.63387,0.81785,0.52291,1.0087,0.00127092,0.00127092,0.00127092
74,492.928,0.72432,0.48549,0.99801,0.91118,0.8013,0.87847,0.64276,0.8143,0.51316,1.00179,0.00126542,0.00126542,0.00126542
75,499.49,0.73469,0.49119,1.00896,0.91577,0.79963,0.87033,0.63507,0.81952,0.52788,1.01084,0.00125992,0.00125992,0.00125992
76,505.998,0.73642,0.48428,1.0034,0.9312,0.79593,0.86847,0.63444,0.80856,0.5165,0.99808,0.00125442,0.00125442,0.00125442
77,513.093,0.72263,0.48687,1.00275,0.89955,0.81321,0.86887,0.63298,0.82838,0.51817,1.01123,0.00124892,0.00124892,0.00124892
78,521.044,0.72903,0.48817,0.9984,0.94146,0.80175,0.87701,0.6395,0.81391,0.51621,1.00286,0.00124342,0.00124342,0.00124342
79,527.961,0.73033,0.48434,0.99924,0.93542,0.7938,0.86892,0.64376,0.80917,0.50843,0.99722,0.00123791,0.00123791,0.00123791
80,534.956,0.72577,0.48518,0.99523,0.93295,0.79478,0.87517,0.64407,0.79975,0.51917,0.98316,0.00123241,0.00123241,0.00123241
81,541.846,0.72115,0.47639,0.99,0.92185,0.78915,0.86771,0.64054,0.81669,0.52183,1.0119,0.00122691,0.00122691,0.00122691
82,548.448,0.72582,0.47812,0.99723,0.92016,0.79059,0.86035,0.62504,0.8198,0.52011,1.02257,0.00122141,0.00122141,0.00122141
83,555.096,0.70848,0.47859,0.99199,0.92325,0.79882,0.87175,0.644,0.79928,0.51804,1.00242,0.00121591,0.00121591,0.00121591
84,561.575,0.71796,0.47894,1.0007,0.92498,0.79303,0.87344,0.63108,0.81276,0.5125,0.99647,0.00121041,0.00121041,0.00121041
85,568.007,0.71138,0.4785,0.99162,0.92992,0.7929,0.8767,0.64415,0.80527,0.51105,1.00338,0.00120491,0.00120491,0.00120491
86,574.395,0.70518,0.47052,0.98924,0.92939,0.80996,0.87677,0.64849,0.81282,0.51123,1.00791,0.00119941,0.00119941,0.00119941
