epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,922.58,1.04416,0.71592,1.32586,0.9142,0.82515,0.90653,0.5856,1.17105,0.68928,1.3017,0.00147556,0.00147556,0.00147556
60,938.645,1.0469,0.70507,1.33138,0.91689,0.84791,0.91157,0.58993,1.14035,0.68487,1.31943,0.00147226,0.00147226,0.00147226
61,954.629,1.03891,0.709,1.3195,0.91058,0.81541,0.89567,0.6011,1.13904,0.68906,1.29029,0.00146896,0.00146896,0.00146896
62,970.68,1.02237,0.69376,1.30597,0.93469,0.83418,0.90614,0.54639,1.34389,0.73146,1.44175,0.00146566,0.00146566,0.00146566
63,986.525,1.0266,0.6906,1.30427,0.90957,0.81225,0.89429,0.57769,1.1755,0.69767,1.3313,0.00146236,0.00146236,0.00146236
64,1002.28,1.01365,0.67703,1.30372,0.89097,0.84972,0.90306,0.54332,1.30781,0.72372,1.42289,0.00145906,0.00145906,0.00145906
65,1018.29,1.0445,0.69322,1.30701,0.88865,0.83551,0.89825,0.59161,1.12008,0.68082,1.28056,0.00145576,0.00145576,0.00145576
66,1034.08,1.03589,0.69208,1.31069,0.9154,0.83918,0.91118,0.57865,1.20701,0.66481,1.31012,0.00145246,0.00145246,0.00145246
67,1049.91,1.00249,0.67012,1.28187,0.89357,0.86504,0.9092,0.53914,1.33658,0.71344,1.47346,0.00144916,0.00144916,0.00144916
68,1065.71,1.00929,0.67291,1.29981,0.8972,0.82672,0.9085,0.57716,1.19223,0.68732,1.33813,0.00144586,0.00144586,0.00144586
69,1081.73,1.00762,0.6773,1.29388,0.90143,0.83512,0.91135,0.59268,1.18574,0.67529,1.36266,0.00144256,0.00144256,0.00144256
70,1097.83,1.02417,0.68392,1.30196,0.90444,0.83804,0.90724,0.57151,1.22919,0.68298,1.36669,0.00143925,0.00143925,0.00143925
71,1113.75,1.0038,0.66156,1.28788,0.91222,0.84305,0.91127,0.58782,1.17897,0.67799,1.34183,0.00143595,0.00143595,0.00143595
72,1129.59,1.01272,0.66677,1.29464,0.90456,0.85057,0.91252,0.57574,1.21953,0.65662,1.35523,0.00143265,0.00143265,0.00143265
73,1145.6,1.00637,0.66379,1.28655,0.91732,0.82911,0.90137,0.59061,1.13673,0.68343,1.29615,0.00142935,0.00142935,0.00142935
74,1161.45,0.9899,0.65079,1.28072,0.89696,0.8476,0.90063,0.5681,1.22206,0.67539,1.36481,0.00142605,0.00142605,0.00142605
75,1177.26,0.99862,0.65656,1.29421,0.9333,0.81525,0.90758,0.58965,1.18866,0.67949,1.36176,0.00142275,0.00142275,0.00142275
76,1193.21,0.99148,0.65727,1.27879,0.90062,0.85041,0.9101,0.6003,1.1537,0.65198,1.33774,0.00141945,0.00141945,0.00141945
77,1209.23,0.99325,0.66001,1.28727,0.90111,0.84597,0.90706,0.56733,1.21424,0.66989,1.37199,0.00141615,0.00141615,0.00141615
78,1225.13,1.00235,0.65868,1.28921,0.88681,0.85085,0.90186,0.60835,1.10309,0.65235,1.27358,0.00141285,0.00141285,0.00141285
79,1240.83,1.004,0.66901,1.28462,0.89903,0.82953,0.89724,0.60952,1.0996,0.65861,1.2674,0.00140955,0.00140955,0.00140955
