epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,110.073,0.69786,0.48775,0.91565,0.9052,0.70193,0.77125,0.48657,1.09365,0.68668,1.10304,0.00113339,0.00113339,0.00113339
99,111.189,0.70904,0.48958,0.92772,0.8937,0.71526,0.77699,0.49849,1.0477,0.66445,1.08938,0.00112789,0.00112789,0.00112789
100,112.255,0.71406,0.48942,0.93945,0.94014,0.64549,0.7378,0.48668,1.06548,0.72673,1.08005,0.00112239,0.00112239,0.00112239
101,113.358,0.707,0.47723,0.93374,0.88128,0.68198,0.754,0.48793,1.07172,0.68759,1.09042,0.00111689,0.00111689,0.00111689
102,114.387,0.68291,0.46432,0.92283,0.876,0.68613,0.74594,0.48479,1.07745,0.66824,1.08778,0.00111139,0.00111139,0.00111139
103,115.433,0.68299,0.46652,0.91742,0.89892,0.64913,0.74587,0.48168,1.07746,0.66833,1.07895,0.00110589,0.00110589,0.00110589
104,116.521,0.7068,0.47769,0.93748,0.87407,0.68926,0.7491,0.48968,1.0739,0.66105,1.08149,0.00110039,0.00110039,0.00110039
105,117.542,0.69023,0.45993,0.9218,0.89736,0.68884,0.75624,0.5008,1.05873,0.65318,1.07035,0.00109489,0.00109489,0.00109489
106,118.61,0.69114,0.47873,0.9224,0.91775,0.71342,0.77286,0.49253,1.05433,0.64585,1.06742,0.00108938,0.00108938,0.00108938
107,119.696,0.70844,0.48109,0.92524,0.88761,0.69326,0.76095,0.49712,1.0617,0.63201,1.06486,0.00108388,0.00108388,0.00108388
108,120.758,0.69291,0.46421,0.91029,0.87281,0.69477,0.77076,0.49171,1.05771,0.66424,1.06475,0.00107838,0.00107838,0.00107838
109,121.825,0.69208,0.47011,0.91845,0.87632,0.72282,0.76954,0.5031,1.04041,0.63785,1.06089,0.00107288,0.00107288,0.00107288
110,122.922,0.6975,0.47137,0.91192,0.93426,0.70002,0.76588,0.50169,1.06489,0.62859,1.08833,0.00106738,0.00106738,0.00106738
111,123.997,0.67813,0.46498,0.91487,0.95048,0.68701,0.76975,0.50026,1.04752,0.65379,1.07185,0.00106188,0.00106188,0.00106188
112,125.014,0.69383,0.46804,0.9162,0.9492,0.66099,0.76428,0.51021,1.04374,0.67921,1.06997,0.00105638,0.00105638,0.00105638
113,126.052,0.70219,0.46889,0.92343,0.94761,0.66038,0.77152,0.49433,1.07777,0.67875,1.08429,0.00105088,0.00105088,0.00105088
114,127.09,0.69592,0.45872,0.91553,0.94157,0.68795,0.77499,0.52072,1.02863,0.63568,1.06134,0.00104538,0.00104538,0.00104538
115,128.13,0.6411,0.44274,0.90215,0.9278,0.69527,0.78477,0.52707,1.0222,0.61975,1.05873,0.00103987,0.00103987,0.00103987
116,129.158,0.65869,0.45637,0.9171,0.88347,0.69871,0.77117,0.5164,1.03322,0.62401,1.06036,0.00103437,0.00103437,0.00103437
117,130.255,0.68879,0.45871,0.91809,0.88221,0.68685,0.75668,0.50486,1.04478,0.62985,1.06035,0.00102887,0.00102887,0.00102887
118,131.294,0.66926,0.4507,0.90782,0.88336,0.69142,0.75995,0.50534,1.037,0.64626,1.05237,0.00102337,0.00102337,0.00102337
119,132.36,0.66867,0.44991,0.91779,0.87314,0.68374,0.75687,0.50843,1.02319,0.64316,1.05374,0.00101787,0.00101787,0.00101787
120,133.495,0.67391,0.46058,0.92185,0.87414,0.70593,0.77538,0.51638,1.02329,0.63054,1.06212,0.00101237,0.00101237,0.00101237
121,134.533,0.67633,0.44454,0.92336,0.87121,0.72337,0.77011,0.50838,1.0565,0.64176,1.07756,0.00100687,0.00100687,0.00100687
122,135.613,0.66406,0.44036,0.91596,0.8836,0.72105,0.76867,0.50834,1.04852,0.62395,1.0788,0.00100137,0.00100137,0.00100137
123,136.66,0.66592,0.45197,0.91458,0.87749,0.72106,0.76358,0.5006,1.0743,0.63737,1.08409,0.000995866,0.000995866,0.000995866
124,137.747,0.65761,0.44326,0.9024,0.86042,0.71844,0.76942,0.5099,1.03202,0.64769,1.06331,0.000990365,0.000990365,0.000990365
125,138.812,0.67002,0.44388,0.91424,0.83003,0.71344,0.77319,0.52568,1.00042,0.63065,1.04832,0.000984864,0.000984864,0.000984864
126,139.872,0.66041,0.44051,0.90033,0.84935,0.71795,0.77596,0.52501,1.00588,0.61287,1.04012,0.000979362,0.000979362,0.000979362
127,140.982,0.67862,0.43501,0.9203,0.84641,0.7012,0.76683,0.52026,1.02764,0.62594,1.04062,0.000973861,0.000973861,0.000973861
128,142.038,0.66744,0.44605,0.89867,0.83883,0.71344,0.76366,0.52534,1.00384,0.6279,1.03426,0.00096836,0.00096836,0.00096836
129,143.088,0.65395,0.4364,0.90063,0.85036,0.67397,0.7615,0.50507,1.04007,0.67842,1.05954,0.000962859,0.000962859,0.000962859
130,144.144,0.65892,0.43638,0.91077,0.88318,0.71609,0.78521,0.52537,1.01815,0.58828,1.04353,0.000957358,0.000957358,0.000957358
131,145.179,0.64765,0.42769,0.90059,0.91509,0.68865,0.78388,0.52951,1.00357,0.59465,1.04022,0.000951857,0.000951857,0.000951857
132,146.279,0.68287,0.44642,0.91241,0.88929,0.70035,0.77185,0.51685,1.02664,0.61049,1.06001,0.000946356,0.000946356,0.000946356
133,147.368,0.65832,0.43449,0.90396,0.91778,0.69273,0.76864,0.50063,1.02273,0.62093,1.05509,0.000940855,0.000940855,0.000940855
134,148.422,0.63987,0.43439,0.89282,0.91552,0.68018,0.77787,0.5144,1.01076,0.61512,1.05429,0.000935354,0.000935354,0.000935354
135,149.492,0.64807,0.42695,0.8997,0.84371,0.72925,0.78667,0.52708,0.99236,0.5934,1.04019,0.000929853,0.000929853,0.000929853
136,150.558,0.65095,0.42774,0.90941,0.93269,0.71277,0.80187,0.53498,0.98827,0.60347,1.03371,0.000924352,0.000924352,0.000924352
137,151.621,0.63464,0.42455,0.90588,0.90065,0.72927,0.79655,0.52212,1.00055,0.6245,1.04582,0.00091885,0.00091885,0.00091885
138,152.662,0.6302,0.43055,0.90961,0.90456,0.71078,0.77434,0.51953,1.00248,0.63328,1.03951,0.000913349,0.000913349,0.000913349
139,153.736,0.62222,0.41971,0.90897,0.89011,0.71232,0.76046,0.51606,1.00321,0.64159,1.03427,0.000907848,0.000907848,0.000907848
